	Sx	Sy	Sz	Rx	Ry	Rz	t100
1	0.05	0	-10.25	3.25	0	-10.25	5.2208
2	0.05	0	-10.25	3.25	0	-10.75	2.9
3	0.05	0	-10.25	3.25	0	-11.25	2.9
4	0.05	0	-10.25	3.25	0	-11.75	8.0816
5	0.05	0	-10.25	3.25	0	-12.25	8
6	0.05	0	-10.25	3.25	0	-12.75	6.7808
7	0.05	0	-10.25	3.25	0	-13.25	6.7808
8	0.05	0	-10.25	3.25	0	-13.75	5.2208
9	0.05	0	-10.75	3.25	0	-10.25	4.0608
10	0.05	0	-10.75	3.25	0	-10.75	2.52
11	0.05	0	-10.75	3.25	0	-11.25	2.52
12	0.05	0	-10.75	3.25	0	-11.75	4.12
13	0.05	0	-10.75	3.25	0	-12.25	6.66
14	0.05	0	-10.75	3.25	0	-12.75	5.6016
15	0.05	0	-10.75	3.25	0	-13.25	4.18
16	0.05	0	-10.75	3.25	0	-13.75	2.8
17	0.05	0	-11.25	3.25	0	-10.25	2.6216
18	0.05	0	-11.25	3.25	0	-10.75	0.8208
19	0.05	0	-11.25	3.25	0	-11.25	0.8208
20	0.05	0	-11.25	3.25	0	-11.75	2.66
21	0.05	0	-11.25	3.25	0	-12.25	3.94
22	0.05	0	-11.25	3.25	0	-12.75	3.8616
23	0.05	0	-11.25	3.25	0	-13.25	1.9288
24	0.05	0	-11.25	3.25	0	-13.75	1.1216
25	0.05	0	-11.75	3.25	0	-10.25	2.32
26	0.05	0	-11.75	3.25	0	-10.75	0.5568
27	0.05	0	-11.75	3.25	0	-11.25	0.5784
28	0.05	0	-11.75	3.25	0	-11.75	1.6816
29	0.05	0	-11.75	3.25	0	-12.25	3.34
30	0.05	0	-11.75	3.25	0	-12.75	2.3216
31	0.05	0	-11.75	3.25	0	-13.25	0.8
32	0.05	0	-11.75	3.25	0	-13.75	0.46
33	0.05	0	-12.25	3.25	0	-10.25	2.82
34	0.05	0	-12.25	3.25	0	-10.75	0.78
35	0.05	0	-12.25	3.25	0	-11.25	0.72
36	0.05	0	-12.25	3.25	0	-11.75	2.4
37	0.05	0	-12.25	3.25	0	-12.25	3.14
38	0.05	0	-12.25	3.25	0	-12.75	3.12
39	0.05	0	-12.25	3.25	0	-13.25	2.72
40	0.05	0	-12.25	3.25	0	-13.75	1.3816
41	0.05	0	-12.75	3.25	0	-10.25	4.8
42	0.05	0	-12.75	3.25	0	-10.75	2.22
43	0.05	0	-12.75	3.25	0	-11.25	2.22
44	0.05	0	-12.75	3.25	0	-11.75	4.7912
45	0.05	0	-12.75	3.25	0	-12.25	6.5032
46	0.05	0	-12.75	3.25	0	-12.75	4.82
47	0.05	0	-12.75	3.25	0	-13.25	3.94
48	0.05	0	-12.75	3.25	0	-13.75	3.08
49	0.05	0	-13.25	3.25	0	-10.25	7.38
50	0.05	0	-13.25	3.25	0	-10.75	4.46
51	0.05	0	-13.25	3.25	0	-11.25	4.46
52	0.05	0	-13.25	3.25	0	-11.75	7.38
53	0.05	0	-13.25	3.25	0	-12.25	7.38
54	0.05	0	-13.25	3.25	0	-12.75	7.38
55	0.05	0	-13.25	3.25	0	-13.25	5.44
56	0.05	0	-13.25	3.25	0	-13.75	4.46
57	0.05	0	-13.75	3.25	0	-10.25	9.5
58	0.05	0	-13.75	3.25	0	-10.75	6.7
59	0.05	0	-13.75	3.25	0	-11.25	6.7
60	0.05	0	-13.75	3.25	0	-11.75	9.5
61	0.05	0	-13.75	3.25	0	-12.25	9.5
62	0.05	0	-13.75	3.25	0	-12.75	6.7
63	0.05	0	-13.75	3.25	0	-13.25	6.7
64	0.05	0	-13.75	3.25	0	-13.75	5.28
